feature,importance
gspc_ret_1w,0.23939034688074443
tnx_chg,0.19030856204447544
primary_ATR14,0.1556900410332865
eurusd_ret,0.09580109278964355
primary_Close,0.0883972935976094
primary_Volume,0.08518296281681888
gbpusd_ret,0.08409335450261127
ratio_yield_gold,0.05633441102751377
bac_ret_1w,0.0016074183755107358
ftse_ret_1w,0.0008651496140897212
gold_ret_1w,0.0007151348262266091
c_ret_1w,0.0005876210265099244
primary_ret_1w,0.0004858236303647549
wfc_ret_1w,0.00038990457544566204
primary_vol_chg,0.0001508832591494238
