feature,coef
primary_Close,0.9987214968882985
gbpusd_ret,0.2517341352472484
eurusd_ret,-0.17994432798648077
tnx_chg,-0.1507988594603966
ratio_yield_gold,-0.06692337139046868
primary_Volume,-0.04916929102255098
primary_ATR14,0.020485807974572418
wfc_ret_1w,0.006468870782134706
ftse_ret_1w,-0.005429138149339874
gspc_ret_1w,-0.005027708164124689
gold_ret_1w,-0.004178426312909872
primary_ret_1w,-0.003983469041866531
bac_ret_1w,-0.003670253777504141
c_ret_1w,0.002578064795480747
primary_vol_chg,-0.0017494780864483206
